SG,7/10/2020,0,27.6,0,0
SG,7/11/2020,0.8,28.2,0.8,0
SG,7/12/2020,3.2,28.5,3.2,0
SG,7/13/2020,39.6,26.5,39.6,0
SG,7/14/2020,0,27.1,0,0
SG,7/15/2020,0.4,27.9,0,0.4
SG,7/16/2020,0,28.7,0,0
SG,7/17/2020,0,28.9,0,0
SG,7/18/2020,3,28.5,3,0
SG,7/19/2020,0,28.6,0,0
SG,7/20/2020,0,29.2,0,0
SG,7/21/2020,0,29.2,0,0
SG,7/22/2020,0,28.4,0,0
SG,7/23/2020,2,27.9,2,0
SG,7/24/2020,1,28.1,1,0
SG,7/25/2020,29.4,27.1,14.7,14.7
SG,7/26/2020,3.4,28.1,1.7,1.7
SG,7/27/2020,15,27.5,15,0
SG,7/28/2020,0.4,28.6,0.2,0.2
SG,7/29/2020,13,26.7,6.5,6.5
SG,7/30/2020,0.2,28.5,0.2,0
SG,7/31/2020,1,28.2,1,0
SG,8/1/2020,0.6,28.6,0.6,0
SG,8/2/2020,0,29.1,0,0
SG,8/3/2020,0,29.5,0,0
SG,8/4/2020,19.2,27.7,19.2,0
SG,8/5/2020,0,28.8,0,0
SG,8/6/2020,0,29.3,0,0
SG,8/7/2020,0,29.6,0,0
SG,8/8/2020,0,29.9,0,0
SG,8/9/2020,0,29.9,0,0
SG,8/10/2020,0,30,0,0
SG,8/11/2020,0,30,0,0
SG,8/12/2020,5.8,28.4,5.8,0
SG,8/13/2020,10.6,28.6,10.6,0
SG,8/14/2020,23.6,26.5,23.6,0
SG,8/15/2020,0.4,28.1,0,0.4
SG,8/16/2020,0,28,0,0
SG,8/17/2020,95.8,27.2,47.9,47.9
SG,8/18/2020,1,27.6,1,0
SG,8/19/2020,0.4,28.4,0.4,0
SG,8/20/2020,0.2,28.3,0.2,0
SG,8/21/2020,0,29.5,0,0
SG,8/22/2020,2.4,28.2,0,2.4
SG,8/23/2020,17.6,26.3,,
SG,8/24/2020,0,28.5,0,0
SG,8/25/2020,0.6,28.1,0.6,0
SG,8/26/2020,6.8,27.5,6.8,0
SG,8/27/2020,0,28.1,0,0
SG,8/28/2020,1.2,29.2,0.6,0.6
SG,8/29/2020,10.6,27.9,,
SG,8/30/2020,0,28.9,0,0
SG,8/31/2020,0,29.3,0,0
SG,9/1/2020,8.2,29,,
SG,9/2/2020,0,28.9,,
SG,9/3/2020,49.6,27.3,,
SG,9/4/2020,14.6,27.6,,
SG,9/5/2020,22.2,26.2,,
SG,9/6/2020,2.4,27.1,,
SG,9/7/2020,0,28.7,,
SG,9/8/2020,0.4,28.5,,
SG,9/9/2020,0,28.6,,
SG,9/10/2020,40.2,27,,
SG,9/11/2020,49.4,27.7,,
SG,9/12/2020,18.6,26.6,,
SG,9/13/2020,29.6,25.2,,
SG,9/14/2020,25.8,25.9,,
SG,9/15/2020,0,27.6,,
SG,9/16/2020,23.2,26.8,,
SG,9/17/2020,1.2,28,,
SG,9/18/2020,0,28.9,,
SG,9/19/2020,13.4,28.1,,
SG,9/20/2020,0.2,29.2,,
SG,9/21/2020,2.8,26.6,,
SG,9/22/2020,0,27.9,,
SG,9/23/2020,0,28.8,,
SG,9/24/2020,5.2,28.3,,
SG,9/25/2020,34.2,28.8,,
SG,9/26/2020,47.4,25.9,,
SG,9/27/2020,5.8,26.7,,
SG,9/28/2020,0,28.5,,
SG,9/29/2020,18.4,27.6,,
SG,9/30/2020,4.2,28,,
SG,10/1/2020,7.6,26.9,,
SG,10/2/2020,8.4,27.8,,
SG,10/3/2020,4,27.5,,
SG,10/4/2020,0,28.8,,
SG,10/5/2020,0,28.9,,
SG,10/6/2020,0,28.6,,
SG,10/7/2020,4.4,27.9,,
SG,10/8/2020,26.4,27.2,,
SG,10/9/2020,0,28.1,,
SG,10/10/2020,14.4,27.9,,
SG,10/11/2020,3.4,27.6,,
SG,10/12/2020,0,28.4,,
SG,10/13/2020,0,29.1,,
SG,10/14/2020,5.6,28.9,,
SG,10/15/2020,4,28.8,,
SG,10/16/2020,0.6,29,,
SG,10/17/2020,0,29.8,,
SG,10/18/2020,6.4,28.6,,
SG,10/19/2020,0.2,28.6,,
SG,10/20/2020,0.8,28.4,,
SG,10/21/2020,0.8,28.8,,
SG,10/22/2020,10.8,27.3,,
SG,10/23/2020,0,29,,
SG,10/24/2020,17.2,28,,
SG,10/25/2020,1.4,28.2,,
SG,10/26/2020,3.6,27.7,,
SG,10/27/2020,0,29.5,,
SG,10/28/2020,8,28.3,,
SG,10/29/2020,0,28.7,,
SG,10/30/2020,0,28.9,,
SG,10/31/2020,63.8,27.6,,
SG,11/1/2020,0,28,,
SG,11/2/2020,0.2,27.9,,
SG,11/3/2020,0,27.9,,
SG,11/4/2020,50,25.9,,
SG,11/5/2020,0,28.1,,
SG,11/6/2020,0,29,,
SG,11/7/2020,10.4,26.4,,
SG,11/8/2020,6.6,26.8,,
SG,11/9/2020,0,26.9,,
SG,11/10/2020,1.8,27.5,,
SG,11/11/2020,0,28.7,,
SG,11/12/2020,0,29.9,,
SG,11/13/2020,9.6,29.3,,
SG,11/14/2020,10.2,28.5,,
SG,11/15/2020,18,27.6,,
SG,11/16/2020,7.2,28.1,,
SG,11/17/2020,0,27.4,,
SG,11/18/2020,0,28.1,,
SG,11/19/2020,3,27.7,,
SG,11/20/2020,20.4,27.6,,
SG,11/21/2020,62,26.5,,
SG,11/22/2020,23,26.4,,
SG,11/23/2020,28.4,25.9,,
SG,11/24/2020,0.6,26.1,,
SG,11/25/2020,7,26.6,,
SG,11/26/2020,2.2,26.3,,
SG,11/27/2020,0.4,27.7,,
SG,11/28/2020,1.2,26.7,,
SG,11/29/2020,0,27.9,,
SG,11/30/2020,0.8,28,,
SG,12/1/2020,0,28.9,,
SG,12/2/2020,6.4,28.1,,
SG,12/3/2020,9.4,27.2,,
SG,12/4/2020,13.2,26.7,,
SG,12/5/2020,2,26.9,,
SG,12/6/2020,0.2,28,,
SG,12/7/2020,0.2,28.2,,
SG,12/8/2020,2.6,28.3,,
SG,12/9/2020,9.8,27.9,,
SG,12/10/2020,7.2,27.6,,
SG,12/11/2020,0,28,,
SG,12/12/2020,5.4,27.1,,
SG,12/13/2020,1.2,27.5,,
SG,12/14/2020,18,26.6,,
SG,12/15/2020,31.4,26.3,,
SG,12/16/2020,5,26,,
SG,12/17/2020,19,26.1,,
SG,12/18/2020,4.6,25.5,,
SG,12/19/2020,0,26.4,,
SG,12/20/2020,4,26.9,,
SG,12/21/2020,0,27.2,,
SG,12/22/2020,15,27.3,,
SG,12/23/2020,0,27.7,,
SG,12/24/2020,2.6,27.1,,
SG,12/25/2020,0,28.4,,
SG,12/26/2020,28.2,27.3,,
SG,12/27/2020,5.6,26.8,,
SG,12/28/2020,1,27.4,,
SG,12/29/2020,10.6,26.7,,
SG,12/30/2020,0,27.3,,
SG,12/31/2020,7.6,26.7,,
